,BugId,Project,FixHashId,BUG,BIC,Comments,title,description
312,1242662,neutron,7d44629c2e8003f5bbb87e9b697eec54b4cce793,1,1,Exception does not exist,exceptions.Error does not exist,"def add_extension(self, ext):
        # Do nothing if the extension doesn't check out
        if not self._check_extension(ext):
            return
        alias = ext.get_alias()
        LOG.info(_('Loaded extension: %s'), alias)
        if alias in self.extensions:
            raise exceptions.Error(_(""Found duplicate extension: %s"") %
                                   alias)
        self.extensions[alias] = ext"
313,1242819,nova,8c985874c7885f31871204d3f83ce547fefc5fb6,1,1,Optimize the code,Remove unnecessary steps for cold snapshots,"When creating cold snapshots we first stop the instance, create a snapshot of that instance, extract the snapshot to a file, delete the snapshot and bring the instance back up.
If the instance is stopped, then there's no need to create a snapshot because there's no concurrent writer, so the snapshot can be extracted directly and save us from the two unnecessary steps (creation and deletion of a snapshot)."
314,1242933,neutron,cecd7591533e2c046aedba3b8e5d14a5b2fa7fe9,0,0,Add a feature. This allows instances to do SLAAC configuration,Security Groups does not allow RA packets in by de...,"Provisioning a VM using Neutron, with RA's being broadcast by upstream switches, the VM was not getting the packets.
Changing the rules manually to:
ip6tables -I neutron-openvswi-ie90990dd-0 1 -p ipv6-icmp -j ACCEPT
Allowed RA packets through."
315,1242942,cinder,5be4620ae5bb50c8436de0e11269c85a095ed40b,1,1, does not handle missing volume group gracefully,cinder does not handle missing volume group gracef...,"Tested with Havana rc2 from the UCA on Precise.
If the cinder-volumes (in a default configuration) LVM volume group does not exist, cinder will try to create a volume, which is bound to fail. The volume then gets stuck in the ""creating"" state and can't be deleted. The log will contain:
2013-10-17 09:29:58.188 16676 ERROR cinder.brick.local_dev.lvm [req-5c03777b-4acc-4784-b463-278dee0d2e08 None None] Unable to locate Volume Group cinder-volumes
2013-10-17 09:29:58.189 16676 ERROR cinder.volume.manager [req-5c03777b-4acc-4784-b463-278dee0d2e08 None None] Error encountered during initialization of driver: LVMISCSIDriver
2013-10-17 09:29:58.189 16676 ERROR cinder.volume.manager [req-5c03777b-4acc-4784-b463-278dee0d2e08 None None] Bad or unexpected response from the storage volume backend API: Volume Group cinder-volumes does not exist
2013-10-17 09:29:58.189 16676 TRACE cinder.volume.manager Traceback (most recent call last):
2013-10-17 09:29:58.189 16676 TRACE cinder.volume.manager   File ""/usr/lib/python2.7/dist-packages/cinder/volume/manager.py"", line 190, in init_host
2013-10-17 09:29:58.189 16676 TRACE cinder.volume.manager     self.driver.check_for_setup_error()
2013-10-17 09:29:58.189 16676 TRACE cinder.volume.manager   File ""/usr/lib/python2.7/dist-packages/cinder/volume/drivers/lvm.py"", line 94, in check_for_setup_error
2013-10-17 09:29:58.189 16676 TRACE cinder.volume.manager     raise exception.VolumeBackendAPIException(data=message)
2013-10-17 09:29:58.189 16676 TRACE cinder.volume.manager VolumeBackendAPIException: Bad or unexpected response from the storage volume backend API: Volume Group cinder-volumes does not exist
2013-10-17 09:29:58.189 16676 TRACE cinder.volume.manager
2013-10-17 09:30:47.198 16676 WARNING cinder.volume.manager [req-d5f8a463-c097-4518-829b-504bf02763b2 None None] Unable to update stats, driver is uninitialized
Resetting the state with ""cinder reset-state"" will get the volume to the ""available"" state, which it isn't. Deleting or force-deleting will also fail, getting stuck in ""deleting"" state forever. The only solution I found was to directly kill the relevant rows in the volumes table and cinder-manage db sync.
I know in grizzly, cinder-volume would refuse to start if it couldn't find the volume-group. I thought that behavior was better. Failing when attempting to create the volume, instead of getting stuck in the creating state, would also be acceptable."
316,1242980,cinder,b104d1c0c70898b59b6668970e05cebadecd064a,1,1,,volume transfer url is different from its href in ...,"After creating a volume transfer, I got a detail information of volume transfer like this:
{
    ""transfer"": {
        ""auth_key"": ""cfcb4552f7c1f2df"",
        ""links"": [
            {
                ""href"": ""http://192.168.83.241:8776/v2/c7d8da28afff47189ff1d651992b593b/transfers/dfedf224-1aba-420a-a387-3b971447a28f"",
                ""rel"": ""self""
            },
            {
                ""href"": ""http://192.168.83.241:8776/c7d8da28afff47189ff1d651992b593b/transfers/dfedf224-1aba-420a-a387-3b971447a28f"",
                ""rel"": ""bookmark""
            }
        ],
        ""created_at"": ""2013-10-22T01:18:35.627545"",
        ""volume_id"": ""f636037c-1aa0-4533-aef2-bcbd7ab3896c"",
        ""id"": ""dfedf224-1aba-420a-a387-3b971447a28f"",
        ""name"": null
    }
}
But I cannot describe its detail information with this href of this retrun.
        ""links"": [
            {
                ""href"": ""http://192.168.83.241:8776/v2/c7d8da28afff47189ff1d651992b593b/transfers/dfedf224-1aba-420a-a387-3b971447a28f"",
                ""rel"": ""self""
            },
The correct url is:
""http://192.168.83.241:8776/v2/c7d8da28afff47189ff1d651992b593b/os-volume-transfer/dfedf224-1aba-420a-a387-3b971447a28f""
Then I found that the define of collection_name are defferent between /cinder/api/views/transfers.py and /cinder/api/contrib/volume_transfer.py.
So I think this is a bug."
317,1243037,nova,01e1c027754b47239b9f9a6c40196512ec262986,1,1,Forgot to check float numbers that are not allowed,parameter checking about quota update api is incor...,"In this API, parameters are checked whether they are integer or not.
But when pass float values to this API, error doesn't occur.
Float values should be forbidden."
318,1243062,nova,65df7336994b03b12aecf9bcdafcfb0d839815f9,1,1,Wrong description,wrong description when updating quotas,"when updating quota for a resource, with 'force_update=false', an exception will be raised when the new value is less than the used quota values(used and reserved), but the exception information is not correct, which should be fixed."
319,1243073,neutron,9a64271bd9f741b13f6cf4a9074524d3854fdd14,1,1,,Mistake in usage drop_constraint parameters,"In miration 63afba73813_ovs_tunnelendpoints_id_unique mistake in usage drop_constraint parameters tablename and type instead of table_name and type_.
File ""/opt/stack/neutron/neutron/db/migration/alembic_migrations/versions/63afba73813_ovs_tunnelendpoints_id_unique.py"", line 63, in downgrade
    type='unique'
TypeError: drop_constraint() takes at least 2 arguments (1 given)"
320,1243083,nova,0fcbb7b286888d642d329db1299eb9f3708d1f50,1,1,,lxc container rootfs is attached to more than one ...,"Operation details are as following:
ubuntu@lxc-gq:~$ nova list
+--------------------------------------+------+---------+------------+-------------+------------------+
| ID                                   | Name | Status  | Task State | Power State | Networks         |
+--------------------------------------+------+---------+------------+-------------+------------------+
| b91adccc-408a-4bac-8835-9843afb904b9 | lxc1 | ACTIVE  | None       | Running     | private=10.0.0.2 |
+--------------------------------------+------+---------+------------+-------------+------------------+
ubuntu@lxc-gq:~$ sudo losetup -a
/dev/loop1: [fd01]:134374 (/opt/stack/data/nova/instances/b91adccc-408a-4bac-8835-9843afb904b9/disk)
ubuntu@lxc-gq:~$ nova reboot lxc1 --hard
ubuntu@lxc-gq:~$ nova list
+--------------------------------------+------+-------------+----------------+-------------+------------------+
| ID                                   | Name | Status      | Task State     | Power State | Networks         |
+--------------------------------------+------+-------------+----------------+-------------+------------------+
| b91adccc-408a-4bac-8835-9843afb904b9 | lxc1 | HARD_REBOOT | rebooting_hard | Running     | private=10.0.0.2 |
+--------------------------------------+------+-------------+----------------+-------------+------------------+
ubuntu@lxc-gq:~$ nova list
+--------------------------------------+------+---------+------------+-------------+------------------+
| ID                                   | Name | Status  | Task State | Power State | Networks         |
+--------------------------------------+------+---------+------------+-------------+------------------+
| b91adccc-408a-4bac-8835-9843afb904b9 | lxc1 | ACTIVE  | None       | Running     | private=10.0.0.2 |
+--------------------------------------+------+---------+------------+-------------+------------------+
ubuntu@lxc-gq:~$ sudo losetup -a
/dev/loop0: [fd01]:134374 (/opt/stack/data/nova/instances/b91adccc-408a-4bac-8835-9843afb904b9/disk)
/dev/loop1: [fd01]:134374 (/opt/stack/data/nova/instances/b91adccc-408a-4bac-8835-9843afb904b9/disk)
ubuntu@lxc-gq:~$ nova resize lxc1 m1.lxc
ubuntu@lxc-gq:~$ nova list
+--------------------------------------+------+---------------+------------+-------------+------------------+
| ID                                   | Name | Status        | Task State | Power State | Networks         |
+--------------------------------------+------+---------------+------------+-------------+------------------+
| b91adccc-408a-4bac-8835-9843afb904b9 | lxc1 | VERIFY_RESIZE | None       | Running     | private=10.0.0.2 |
+--------------------------------------+------+---------------+------------+-------------+------------------+
ubuntu@lxc-gq:~$ sudo losetup -a
/dev/loop0: [fd01]:136419 (/opt/stack/data/nova/instances/b91adccc-408a-4bac-8835-9843afb904b9_resize/disk)
/dev/loop1: [fd01]:134374 (/opt/stack/data/nova/instances/b91adccc-408a-4bac-8835-9843afb904b9/disk)
ubuntu@lxc-gq:~$ nova resize-confirm lxc1
ubuntu@lxc-gq:~$ nova list
+--------------------------------------+------+---------+------------+-------------+------------------+
| ID                                   | Name | Status  | Task State | Power State | Networks         |
+--------------------------------------+------+---------+------------+-------------+------------------+
| b91adccc-408a-4bac-8835-9843afb904b9 | lxc1 | ACTIVE  | None       | Running     | private=10.0.0.2 |
+--------------------------------------+------+---------+------------+-------------+------------------+
ubuntu@lxc-gq:~$ vir list
Id    Name                           State
----------------------------------------------------
9312  instance-00000052              running
ubuntu@lxc-gq:~$ sudo losetup -a
/dev/loop0: [fd01]:136419 (/opt/stack/data/nova/instances/b91adccc-408a-4bac-8835-9843afb904b9_resize/disk (deleted))
/dev/loop1: [fd01]:134374 (/opt/stack/data/nova/instances/b91adccc-408a-4bac-8835-9843afb904b9/disk)"
321,1243101,nova,21045a58497818f76f880fe74b3eb5ab09088cf3,1,0,architecture,nova docker driver cannot find cgroup in /proc/mou...,"I'm using the nova docker driver on RHEL 3.10.11-1.el6.x86_64 (rebuilt kernel). Based on the format of /proc/mounts on RHEL, the cgroup devices path cannot be found.
On my box the line in /proc/mounts for cgroups looks like this:
none /sys/fs/cgroup cgroup rw,relatime,perf_event,blkio,net_cls,freezer,devices,memory,cpuacct,cpu,cpuset,clone_children 0 0
In the docker driver the method which searches /proc/mounts for the cgroup path looks like this:
    def _find_cgroup_devices_path(self):
        for ln in open('/proc/mounts'):
            if ln.startswith('cgroup ') and 'devices' in ln:
                return ln.split(' ')[1]
Therefore the method cannot find my cgroup path. I hacked around this with a 1 LOC change to the _find_cgroup_devices_path method which looks for 'cgroup' as the 3rd item in the line split:
if ln.split(' ')[2] == 'cgroup' and 'devices' in ln:
The update method in its entirety looks like:
169     def _find_cgroup_devices_path(self):
170         for ln in open('/proc/mounts'):
171             if ln.split(' ')[2] == 'cgroup' and 'devices' in ln:
172                 return ln.split(' ')[1]
Based on the format in /proc/mounts on my ubuntu box, this change *should* work on ubuntu as well as rhel.
I did read that docker is only supported with devstack + unbuntu, so I realize this defect may get deferred or even closed. However I wanted to surface it as I believe future efforts of openstack + docker will need to consider non-ubuntu + devstack envs."
